Title,Start Date,End Date,Description,Venue,Address,City,Postal Code,Country,Organizer,Website,Categories,Image URL,Source URL
Atelier moulage méduse,2024-06-16T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Méduse, la Vouivre, Hercule ou Œdipe, découvre à travers les œuvres du Musée les mythes antiques, les légendes, les héros et les monstres qui les peuplent,  puis fabrique ta tête de méduse en argile.",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/03/4.mosaique-meduse-detail-MBAA.jpg,https://sortir.besancon.fr/evenement/vacances-au-musee-mythes-et-legendes/2024-06-16/
Visite de la ferme et atelier « peinture végétale »,2024-06-16T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une visite de la ferme et un petit gouter fermier, vous pourrez participer à un atelier de peinture végétale et apprendre à utiliser les pigments et liants naturels trouvés dans la nature.",La ferme de Malpas,ile de Malpas 68 chemin de Mazagran,Besançon,25000,N/A,la ferme de Malpas,https://www.lafermedemalpas.fr/reservez-votre-visite-grand-public/,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/peinturevegetaleveirmagazine-674x1024-1.jpg,https://sortir.besancon.fr/evenement/visite-de-la-ferme-et-atelier-peinture-vegetale/
Berceuses et bercement – Séances d’éveil musical,2024-06-18T00:00:00+02:00,N/A,"Venez partager un temps de berceuses et d’échanges  en famille, pour les enfants jusqu’à 3 ans, ouvert aux femmes enceintes.",Médiathèque Aimé Césaire,"61, rue Mirabeau",Besançon,25000,France,Association Coccinote,https://www.coccinote.com/,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2024/01/Sortir-evenement.jpg,https://sortir.besancon.fr/evenement/berceuses-et-bercement-seances-deveil-musical/2024-06-18/
Atelier « Par Bricks & Par pain(g) »,2024-06-19T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Avec Bye bye peanuts, duo de plasticiens culinaires composé de Violaine Truchetet & Jean-Baptiste Bonhomme.",La Maison de l’Architecture de Franche-Comté,2 Rue de Pontarlier,Besançon,25000,N/A,Maison de l’Architecture de Franche-Comté,https://www.maisondelarchi-fc.fr/activites/laliment-comme-moyen-de-construction/?utm_source=brevo&utm_campaign=Spcial%20-%20Ateliers%20Jeune%20public%202023-2024&utm_medium=email,"Jeune Public, Loisirs",https://sortir.besancon.fr/wp-content/uploads/2023/08/20210612_132204-carre-530x270-1.jpg,https://sortir.besancon.fr/evenement/atelier-ou-est-victor-es-tu-victor-pastiche/
Atelier Mosaïques,2024-06-19T00:00:00+02:00,2024-06-08T23:59:59+02:00,"« En 50 avant Jésus Christ, toute la Gaule est occupée.",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,Jeune Public,https://sortir.besancon.fr/wp-content/uploads/2023/11/mosaiques.jpg,https://sortir.besancon.fr/evenement/visite-atelier-mosaique-les-ptits-cailloux-3-6-ans/2024-06-19/
Visite de la ferme et atelier « hôtel à insectes »,2024-06-19T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une visite de la ferme et un petit goûter fermier, vous découvrirez les insectes du jardin et vous leur fabriquerez un petit hôtel de balcon à ramener à la maison.",La ferme de Malpas,ile de Malpas 68 chemin de Mazagran,Besançon,25000,N/A,la ferme de Malpas,https://www.lafermedemalpas.fr/reservez-votre-visite-grand-public/,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/insectes.jpg,https://sortir.besancon.fr/evenement/visite-de-la-ferme-et-atelier-hotel-a-insectes/
Didjier Corrèze pour les enfants + Born Again,2024-06-21T00:00:00+02:00,N/A,"Une fête de la musique intergénérationnelle puisqu’elle célébrera le jeune public, avec un spectacle et une boum orchestrés par l’incomparable Didjier Corrèze.",Terrasse de la Rodia,4 Avenue Chardonnet,Besançon,25000,France,La Rodia,https://larodia.com/agenda/fete-de-la-musique/,"Jeune Public, Spectacle",https://sortir.besancon.fr/wp-content/uploads/2024/04/cha-8542-800x800-1.jpg,https://sortir.besancon.fr/evenement/didjier-correze-pour-les-enfants-born-again/
Atelier Hiéroglyphes,2024-06-23T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Découverte de l’Egypte ancienne et de son écriture si particulière, le hiéroglyphe. Expérimentation en atelier, au calame sur papyrus.",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/3-4.jpg,https://sortir.besancon.fr/evenement/atelier-hieroglyphes/
Visite de la ferme et atelier « sable magique »,2024-06-23T00:00:00+02:00,2024-06-08T23:59:59+02:00,"Après une visite de la ferme et un petit goûter fermier, vous découvrirez une recette pour fabriquer votre sable magique écologique et repartirez avec un échantillon pour jouer à la maison.",La ferme de Malpas,ile de Malpas 68 chemin de Mazagran,Besançon,25000,N/A,la ferme de Malpas,https://www.lafermedemalpas.fr/reservez-votre-visite-grand-public/,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/sable-magique-maison.jpg,https://sortir.besancon.fr/evenement/visite-de-la-ferme-et-atelier-sable-magique/
Atelier modelage lampe à huile,2024-06-26T00:00:00+02:00,2024-06-08T23:59:59+02:00,"En parcourant le secteur archéologique du Musée, à travers des éléments de décors et des objets, de la cuisine à la chambre, plonge dans la vie quotidienne des  gallo-romains.",Musée des Beaux-arts et d’Archéologie,"1, place de la Révolution",Besançon,25000,France,Musée des Beaux-Arts et d’Archéologie,N/A,"Jeune Public, Visites",https://sortir.besancon.fr/wp-content/uploads/2024/05/2-3.jpg,https://sortir.besancon.fr/evenement/atelier-modelage-lampe-a-huile/
